Bulan,Hari,Tanggal,Jenis Pengukuran,Test,Parameter,Telkomsel,IOH,XL Axiata,Longitude,Latitude,Kabupaten/Kota,Alamat,Keterangan
Maret,Jumat,3/28/2025,Static Test,Video Test,Initial Buffering (ms),501,502,0,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.15,3.92,122.416926,-4.077047,Konawe Selatan,Bandara Haluoleo,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Speed Test,DL (Mbps),29.5,83.63,4.62,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Speed Test,UL (Mbps),33.6,34.09,6.93,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Speed Test,Ping (ms),1.26,1.04,216,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Web Test,Loading time (ms),3.73,2.33,618,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Web Test,Throughput W (Mbps),0.91,0.55,0.31,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Video Test,Initial Buffering (ms),501,501,0,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Jumat,3/28/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.15,2.01,122.461241,-4.043838,Konawe Selatan,SMPN 1 Ranomeeto,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Speed Test,DL (Mbps),63.92,94.87,6.82,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Speed Test,UL (Mbps),17.1,39.67,5.44,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Speed Test,Ping (ms),1.69,1.11,188,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Web Test,Loading time (ms),5.4,4.9,479,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Web Test,Throughput W (Mbps),0.9,0.792,0.33,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Video Test,Initial Buffering (ms),501,503,0,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
Maret,Sabtu,3/29/2025,Static Test,Video Test,Throughput V (Mbps),2.15,2.15,3.09,122.520517,-3.983550,Kendari,The Park Kendari,Posko Before Idul Fitri
